category,subtype,common_name_ro,common_name_en,scientific_name,indoor_ok,toxic_flag,edible_part,primary_use,fertility_need,pruning_need,growth_rate,kc_ini,kc_mid,kc_end,kc_dev,root_depth_min_m,root_depth_max_m,depletion_fraction_p,allowable_depletion_pct,stage_days_ini,stage_days_dev,stage_days_mid,stage_days_end,growth_cycle,maturity_days_min,maturity_days_max,juvenile_years_to_bearing,spacing_row_m,spacing_plant_m,default_density_plants_m2,canopy_cover_max_frac,shade_tolerance,drought_tolerance,salinity_tolerance,typ_irrig_method,kc_source_tag,root_depth_source,water_stress_sensitive_stage,ph_min,ph_max,frost_tolerance_c,temp_opt_min_c,temp_opt_max_c
Gardening,PLANT_CUCUMBER,Castravete,Cucumber,Cucumis sativus,No,No,Fruit,Vegetable,MEDIUM,LOW,FAST,0.6,1.0,0.75,,0.7,1.2,0.5,50,20,30,40,10,Annual,50,70,0,1.2,0.3,2.78,0.9,LOW,LOW,LOW,DRIP,FAO56,FAO56,Flowering/Fruit filling,5.5,7.5,0,20,30
Gardening,PLANT_ZUCCHINI,Dovlecel,Zucchini,Cucurbita pepo,No,No,Fruit,Vegetable,MEDIUM,LOW,FAST,0.5,0.95,0.75,,0.6,1.0,0.5,50,20,30,40,10,Annual,50,60,0,1.0,0.5,2.0,0.8,LOW,LOW,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,6.0,7.5,0,20,30
Gardening,PLANT_PUMPKIN,Dovleac,Pumpkin,Cucurbita maxima,No,No,Fruit,Vegetable,MEDIUM,LOW,FAST,0.5,1.0,0.8,,1.0,1.5,0.35,35,25,30,45,20,Annual,90,120,0,2.0,1.0,0.5,0.9,LOW,MED,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,7.5,0,18,30
Gardening,PLANT_WATERMELON,Pepene verde,Watermelon,Citrullus lanatus,No,No,Fruit,Vegetable,MEDIUM,LOW,FAST,0.4,1.0,0.75,,0.8,1.5,0.4,40,25,30,50,15,Annual,80,100,0,2.0,1.0,0.5,0.9,LOW,MED,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,7.5,0,22,32
Gardening,PLANT_MELON,Pepene galben,Cantaloupe,Cucumis melo,No,No,Fruit,Vegetable,MEDIUM,LOW,FAST,0.5,1.0,0.75,,0.9,1.5,0.45,45,25,30,50,15,Annual,80,100,0,1.5,0.6,1.11,0.9,LOW,MED,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,6.0,7.5,0,22,32
Gardening,PLANT_CABBAGE,Varză,Cabbage,Brassica oleracea var. capitata,No,No,Leaves,Vegetable,HIGH,LOW,FAST,0.7,1.05,0.95,,0.5,0.8,0.45,45,30,60,50,15,Annual,90,120,0,0.6,0.4,4.17,0.9,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Head formation,6.0,7.5,-5,15,22
Gardening,PLANT_CAULIFLOWER,Conopidă,Cauliflower,Brassica oleracea var. botrytis,No,No,Head,Vegetable,HIGH,LOW,FAST,0.7,1.05,0.95,,0.4,0.7,0.45,45,35,50,40,15,Annual,80,100,0,0.6,0.5,3.33,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Head formation,6.0,7.5,-4,15,20
Gardening,PLANT_BROCCOLI,Broccoli,Broccoli,Brassica oleracea var. italica,No,No,Flower heads,Vegetable,HIGH,LOW,FAST,0.7,1.05,0.95,,0.4,0.6,0.45,45,35,45,40,15,Annual,80,100,0,0.5,0.5,4.0,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Flower head formation,6.0,7.5,-5,15,22
Gardening,PLANT_LETTUCE,Salată verde,Lettuce,Lactuca sativa,No,No,Leaves,Vegetable,HIGH,LOW,FAST,0.7,1.0,0.95,,0.3,0.5,0.3,30,20,30,15,10,Annual,45,105,0,0.3,0.3,11.11,0.9,MED,LOW,LOW,SPRINKLER,FAO56,FAO56,Head formation,6.0,7.0,-2,10,20
Gardening,PLANT_SPINACH,Spanac,Spinach,Spinacia oleracea,No,No,Leaves,Vegetable,MEDIUM,LOW,FAST,0.7,1.05,0.95,,0.3,0.5,0.2,20,20,30,15,5,Annual,40,60,0,0.3,0.1,33.33,0.8,MED,LOW,LOW,SPRINKLER,FAO56,FAO56,Mid-season (leaf growth),6.0,7.5,-7,10,18
Gardening,PLANT_ONION,Ceapă,Onion (dry bulb),Allium cepa,No,No,Bulb,Vegetable,MEDIUM,LOW,FAST,0.7,1.05,0.95,,0.3,0.6,0.3,30,20,30,40,30,Annual,90,120,0,0.25,0.1,40.0,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Bulb enlargement,6.0,7.0,-6,12,25
Gardening,PLANT_GARLIC,Usturoi,Garlic,Allium sativum,No,No,Bulb,Vegetable,MEDIUM,LOW,FAST,0.7,1.0,0.95,,0.3,0.5,0.3,30,20,30,40,20,Annual,90,120,0,0.25,0.1,40.0,0.7,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Bulb enlargement,6.0,7.0,-10,12,20
Gardening,PLANT_CARROT,Morcov,Carrot,Daucus carota,No,No,Root,Vegetable,MEDIUM,LOW,FAST,0.7,1.05,0.95,,0.5,1.0,0.35,35,20,30,50,20,Annual,70,100,0,0.3,0.05,66.67,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Root enlargement,5.5,7.0,-5,16,24
Gardening,PLANT_RADISH,Ridiche,Radish,Raphanus sativus,No,No,Root,Vegetable,LOW,LOW,FAST,0.7,0.9,0.85,,0.3,0.5,0.3,30,10,20,20,5,Annual,30,50,0,0.2,0.03,166.67,0.7,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Root enlargement,5.5,6.8,-3,10,20
Gardening,PLANT_CELERY,Țelină,Celery,Apium graveolens,No,No,Stem,Vegetable,HIGH,LOW,MEDIUM,0.7,1.05,0.95,,0.3,0.5,0.2,20,25,40,95,20,Biennial,120,150,0,0.3,0.2,16.67,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Mid-season (stalk growth),6.0,7.0,-2,15,21
Gardening,PLANT_POTATO,Cartof,Potato,Solanum tuberosum,No,No,Tuber,Vegetable,HIGH,LOW,FAST,0.5,1.15,0.75,,0.4,0.6,0.35,35,25,30,40,15,Annual,90,120,0,0.75,0.3,4.44,0.9,LOW,LOW,MED,SPRINKLER,FAO56,FAO56,Tuber bulking,5.0,6.0,-2,15,20
Gardening,PLANT_SWEET_POTATO,Cartof dulce,Sweet Potato,Ipomoea batatas,No,No,Tuberous root,Vegetable,MEDIUM,LOW,FAST,0.5,1.1,0.75,,1.0,1.5,0.65,65,30,40,90,30,Annual,100,150,0,1.0,0.3,3.33,0.8,LOW,MED,LOW,SPRINKLER,FAO56,FAO56,Tuber bulking,5.5,6.5,5,21,26
Gardening,PLANT_CASSAVA,Manioc,Cassava,Manihot esculenta,No,Yes,Root,Vegetable,LOW,LOW,FAST,0.5,1.0,0.8,,0.5,1.0,0.35,35,90,180,365,30,Perennial,300,480,0,1.0,1.0,1.0,0.8,LOW,MED,LOW,RAINFED,FAO56,FAO56,Tuber bulking,5.5,7.5,10,25,30
Gardening,PLANT_TURNIP,Nap,Turnip,Brassica rapa subsp. rapa,No,No,Root,Vegetable,MEDIUM,LOW,FAST,0.7,1.0,0.85,,0.5,1.0,0.5,50,20,30,40,10,Biennial,60,90,0,0.4,0.2,12.5,0.7,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Root enlargement,6.0,7.5,-8,15,20
Gardening,PLANT_PARSNIP,Păstârnac,Parsnip,Pastinaca sativa,No,No,Root,Vegetable,MEDIUM,LOW,FAST,0.5,1.0,0.8,,0.5,1.0,0.4,40,30,30,60,20,Biennial,100,120,0,0.4,0.2,12.5,0.7,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Root enlargement,5.5,7.5,-5,15,22
Gardening,PLANT_TABLE_BEET,Sfeclă roșie,Table Beet,Beta vulgaris (table),No,No,Root,Vegetable,MEDIUM,LOW,FAST,0.5,1.05,0.95,,0.6,1.0,0.5,50,25,40,50,15,Biennial,60,80,0,0.4,0.1,25.0,0.8,LOW,LOW,MED,SPRINKLER,FAO56,FAO56,Root enlargement,6.0,7.5,-5,15,21
Gardening,PLANT_GREEN_BEAN,Fasole verde,Green Bean,Phaseolus vulgaris (green),No,No,Pod,Vegetable,MEDIUM,LOW,FAST,0.5,1.05,0.9,,0.5,0.7,0.45,45,15,25,40,10,Annual,50,70,0,0.5,0.1,20.0,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Flowering/Pod filling,6.0,7.5,0,18,26
Gardening,PLANT_DRY_BEAN,Fasole uscată,Dry Bean,Phaseolus vulgaris (dry),No,No,Seed,Pulse,LOW,LOW,FAST,0.5,1.05,0.9,,0.6,0.9,0.45,45,20,30,40,20,Annual,90,110,0,0.5,0.1,20.0,0.8,LOW,LOW,LOW,RAINFED,FAO56,FAO56,Flowering/Pod filling,6.0,7.5,0,18,26
Gardening,PLANT_PEA,Mazăre,Pea,Pisum sativum,No,No,Pod/Seed,Vegetable,LOW,LOW,FAST,0.5,1.15,1.1,,0.6,1.0,0.35,35,20,30,40,10,Annual,60,80,0,0.5,0.1,20.0,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Flowering/Pod filling,6.0,7.5,-4,13,18
Gardening,PLANT_CHICKPEA,Năut,Chickpea,Cicer arietinum,No,No,Seed,Pulse,LOW,LOW,MEDIUM,0.5,1.0,0.8,,0.6,1.0,0.5,50,30,40,50,20,Annual,90,120,0,0.4,0.15,16.67,0.7,LOW,MED,LOW,RAINFED,FAO56,FAO56,Flowering/Pod filling,6.0,7.0,0,21,26
Gardening,PLANT_LENTIL,Linte,Lentil,Lens culinaris,No,No,Seed,Pulse,LOW,LOW,FAST,0.5,1.0,0.8,,0.6,0.8,0.5,50,20,30,40,10,Annual,100,120,0,0.3,0.1,33.33,0.7,LOW,MED,LOW,RAINFED,FAO56,FAO56,Flowering/Pod filling,6.0,8.0,0,18,26
Gardening,PLANT_STRAWBERRY,Căpșun,Strawberry,Fragaria × ananassa,No,No,Fruit,Fruit,HIGH,LOW,FAST,0.7,1.0,0.9,,0.2,0.3,0.2,20,30,30,60,30,Perennial,60,90,0,0.3,0.3,11.11,0.9,LOW,LOW,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,6.5,-5,15,20
Gardening,PLANT_ARTICHOKE,Anghinare,Artichoke,Cynara scolymus,No,No,Flower bud,Vegetable,MEDIUM,LOW,MEDIUM,0.5,1.0,0.85,,0.6,0.9,0.45,45,30,50,60,20,Perennial,180,240,0,1.0,1.0,1.0,0.8,LOW,MED,LOW,DRIP,FAO56,FAO56,Bud formation,6.5,8.0,-2,18,24
Gardening,PLANT_ASPARAGUS,Sparanghel,Asparagus,Asparagus officinalis,No,No,Shoot,Vegetable,MEDIUM,LOW,MEDIUM,0.4,0.9,0.4,,1.2,1.8,0.45,45,20,30,999,30,Perennial,0,0,2,1.5,0.3,2.22,0.8,LOW,MED,LOW,SPRINKLER,FAO56,FAO56,Spear growth,6.0,8.0,-30,16,24
Gardening,PLANT_BRUSSELS_SPROUTS,Varză de Bruxelles,Brussels Sprouts,Brassica oleracea var. gemmifera,No,No,Buds,Vegetable,HIGH,LOW,MEDIUM,0.7,1.05,0.95,,0.4,0.6,0.45,45,30,60,80,30,Biennial,150,180,0,0.6,0.6,2.78,0.8,LOW,LOW,LOW,SPRINKLER,FAO56,FAO56,Head development,6.5,7.5,-10,15,20
Gardening,PLANT_KALE,Varză creață,Kale,Brassica oleracea var. sabellica,No,No,Leaves,Vegetable,MEDIUM,LOW,FAST,0.7,1.0,0.9,,0.5,0.8,0.45,45,25,35,40,20,Biennial,60,90,0,0.5,0.5,4.0,0.8,MED,LOW,LOW,SPRINKLER,EST,FAO56,Leaf growth,6.0,7.5,-15,15,20
Gardening,PLANT_SWEETCORN,Porumb dulce,Sweet Corn,Zea mays var. saccharata,No,No,Cob,Vegetable,HIGH,LOW,FAST,0.3,1.15,0.4,,0.8,1.2,0.5,50,20,30,40,10,Annual,70,90,0,0.75,0.2,6.67,0.9,LOW,MED,LOW,SPRINKLER,FAO56,FAO56,Silking/Kernel fill,5.5,7.0,0,18,30
Gardening,PLANT_BASIL,Busuioc,Basil,Ocimum basilicum,No,No,Leaves,Herb,MEDIUM,MEDIUM,FAST,0.7,1.0,0.9,,0.5,0.8,0.4,40,20,30,40,10,Annual,60,80,0,0.3,0.3,11.11,0.7,MED,LOW,LOW,MANUAL,EST,EST,Leaf production,5.5,6.5,5,20,30
Gardening,PLANT_PARSLEY,Pătrunjel,Parsley,Petroselinum crispum,No,No,Leaves,Herb,MEDIUM,LOW,FAST,0.7,0.9,0.8,,0.3,0.6,0.4,40,20,30,50,10,Biennial,70,90,0,0.25,0.1,40.0,0.6,MED,LOW,LOW,MANUAL,EST,EST,Leaf growth,6.0,7.0,-7,15,25
Gardening,PLANT_DILL,Mărar,Dill,Anethum graveolens,No,No,Leaves/Seeds,Herb,LOW,LOW,FAST,0.7,0.9,0.8,,0.3,0.5,0.4,40,15,25,30,10,Annual,60,80,0,0.2,0.1,50.0,0.5,LOW,LOW,LOW,MANUAL,EST,EST,Leaf growth,5.5,7.5,0,18,25
Gardening,PLANT_MINT,Mentă,Mint,Mentha spicata,No,No,Leaves,Herb,MEDIUM,MEDIUM,FAST,0.7,1.0,0.9,,0.4,0.8,0.4,40,25,30,50,15,Perennial,90,90,0,0.3,0.3,11.11,0.7,MED,LOW,LOW,SPRINKLER,FAO56,FAO56,Leaf production,6.0,7.5,-5,15,25
Gardening,PLANT_ROSEMARY,Rozmarin,Rosemary,Salvia rosmarinus,No,No,Leaves,Herb,LOW,LOW,SLOW,0.5,0.7,0.7,,0.5,1.0,0.45,45,30,60,999,0,Perennial,0,0,0,0.5,0.5,4.0,0.9,LOW,HIGH,LOW,DRIP,EST,EST,Initial establishment,6.5,7.5,-10,15,28
Gardening,PLANT_THYME,Cimbru,Thyme,Thymus vulgaris,No,No,Leaves,Herb,LOW,LOW,MEDIUM,0.5,0.7,0.7,,0.2,0.4,0.4,40,30,60,999,0,Perennial,0,0,0,0.3,0.3,11.11,0.5,MED,HIGH,LOW,DRIP,EST,EST,Initial growth,6.0,8.0,-15,15,25
Gardening,PLANT_SAGE,Salvie,Sage,Salvia officinalis,No,No,Leaves,Herb,LOW,LOW,MEDIUM,0.5,0.8,0.8,,0.5,1.0,0.45,45,30,60,999,0,Perennial,0,0,0,0.5,0.5,4.0,0.6,MED,HIGH,LOW,DRIP,EST,EST,Initial growth,6.5,7.5,-20,15,25
Gardening,PLANT_OREGANO,Oregano,Oregano,Origanum vulgare,No,No,Leaves,Herb,LOW,LOW,MEDIUM,0.5,0.8,0.8,,0.5,0.8,0.5,50,20,40,999,0,Perennial,0,0,0,0.3,0.3,11.11,0.6,LOW,HIGH,LOW,DRIP,EST,EST,Initial growth,6.0,8.0,-20,18,25
Gardening,PLANT_CHIVES,Arpagic,Chives,Allium schoenoprasum,No,No,Leaves,Herb,LOW,LOW,FAST,0.6,0.9,0.8,,0.3,0.5,0.4,40,20,30,999,0,Perennial,0,0,0,0.2,0.2,25.0,0.5,MED,LOW,LOW,MANUAL,EST,EST,Leaf growth,6.0,7.0,-30,15,25
Gardening,PLANT_TARRAGON,Tarhon,Tarragon,Artemisia dracunculus,No,No,Leaves,Herb,LOW,LOW,MEDIUM,0.5,0.8,0.8,,0.5,1.0,0.45,45,30,60,999,0,Perennial,0,0,0,0.5,0.5,4.0,0.6,LOW,MED,LOW,MANUAL,EST,EST,Initial growth,6.5,7.5,-15,16,24
Landscaping,PLANT_OAK,Stejar,Oak,Quercus robur,No,No,None,Shade/Timber,LOW,LOW,MEDIUM,0.5,0.8,0.8,,1.5,3.0,0.6,60,30,90,999,0,Perennial,0,0,0,10.0,10.0,0.01,0.7,LOW,MED,MED,RAINFED,EST,EST,None,5.0,7.5,-35,10,25
Landscaping,PLANT_MAPLE,Arțar,Maple,Acer platanoides,No,No,None,Shade,MEDIUM,LOW,MEDIUM,0.5,0.9,0.8,,1.0,2.0,0.5,50,30,60,999,0,Perennial,0,0,0,8.0,8.0,0.02,0.7,MED,MED,LOW,RAINFED,EST,EST,None,6.0,7.5,-40,10,20
Landscaping,PLANT_BIRCH,Mesteacăn,Birch,Betula pendula,No,No,None,Ornamental,LOW,LOW,FAST,0.5,0.8,0.7,,1.0,2.0,0.5,50,20,60,999,0,Perennial,0,0,0,6.0,6.0,0.03,0.6,LOW,LOW,LOW,RAINFED,EST,EST,None,5.0,6.5,-40,10,18
Landscaping,PLANT_ASH,Frasin,Ash,Fraxinus excelsior,No,No,None,Shade/Timber,MEDIUM,LOW,FAST,0.5,0.9,0.8,,1.0,2.0,0.5,50,30,60,999,0,Perennial,0,0,0,8.0,8.0,0.02,0.7,LOW,MED,LOW,RAINFED,EST,EST,None,6.0,8.0,-35,12,25
Landscaping,PLANT_ELM,Ulm,Elm,Ulmus glabra,No,No,None,Shade,MEDIUM,LOW,FAST,0.5,0.9,0.8,,1.0,2.0,0.5,50,30,60,999,0,Perennial,0,0,0,8.0,8.0,0.02,0.7,LOW,MED,LOW,RAINFED,EST,EST,None,6.0,7.5,-35,15,25
Landscaping,PLANT_PINE,Pin,Pine,Pinus sylvestris,No,No,None,Ornamental/Timber,LOW,LOW,MEDIUM,0.4,0.7,0.7,,1.0,1.5,0.7,70,0,0,999,0,Perennial,0,0,0,4.0,4.0,0.06,0.5,LOW,HIGH,LOW,RAINFED,FAO56,FAO56,None,4.5,6.5,-40,10,20
Landscaping,PLANT_SPRUCE,Molid,Spruce,Picea abies,No,No,None,Ornamental/Timber,LOW,LOW,MEDIUM,0.4,0.7,0.7,,1.0,1.5,0.7,70,0,0,999,0,Perennial,0,0,0,4.0,4.0,0.06,0.5,LOW,MED,LOW,RAINFED,FAO56,FAO56,None,4.5,6.5,-40,10,20
Landscaping,PLANT_CEDAR,Cedru,Cedar,Cedrus atlantica,No,No,None,Ornamental,LOW,LOW,SLOW,0.4,0.7,0.7,,1.0,2.0,0.7,70,0,0,999,0,Perennial,0,0,0,5.0,5.0,0.04,0.5,LOW,HIGH,LOW,RAINFED,EST,EST,None,6.0,7.5,-20,10,25
Landscaping,PLANT_CYPRESS,Chiparos,Cypress,Cupressus sempervirens,No,No,None,Ornamental,LOW,LOW,MEDIUM,0.4,0.7,0.7,,1.0,2.0,0.7,70,0,0,999,0,Perennial,0,0,0,3.0,3.0,0.11,0.4,LOW,HIGH,MED,RAINFED,EST,EST,None,7.0,8.0,-15,15,30
Landscaping,PLANT_WILLOW,Salcie,Willow,Salix alba,No,No,None,Shade,LOW,LOW,FAST,0.6,1.0,0.9,,0.5,1.0,0.5,50,30,60,999,0,Perennial,0,0,0,6.0,6.0,0.03,0.8,LOW,LOW,LOW,RAINFED,EST,EST,None,5.5,8.0,-40,12,20
